name,email,grade,blog
John,johndoe@email.com,A,http://johndoeblog.com
Jane,janesmith@email.com,B,http://janesmithblog.com
Alex,alexjohnson@email.com,C,http://alexjohnsonblog.com
Emily,emilydavis@email.com,A,http://emilydavisblog.com
John,johnbrown@email.com,B,http://michaelbrownblog.com
Jessica,jessicalee@email.com,C,http://jessicaleeblog.com
Davidn,davidwilson@email.com,B,http://davidwilsonblog.com
Ashley,ashleymiller@email.com,A,http://ashleymillerblog.com
Brian,briantaylor@email.com,C,http://briantaylorblog.com
Olivia,oliviamartinez@email.com,B,http://oliviamartinezblog.com
Chris,chrisharris@email.com,A,http://chrisharrisblog.com
Sophia,sophiaanderson@email.com,B,http://sophiaandersonblog.com
Daniel,danieljackson@email.com,C,http://danieljacksonblog.com
Grace,gracewhite@email.com,A,http://gracewhiteblog.com
Kevin,kevinthomas@email.com,B,http://kevinthomasblog.com
Emma,emmamoore@email.com,C,http://emmamooreblog.com
Andrew,andrewclark@email.com,A,http://andrewclarkblog.com
Mila,milarodriguez@email.com,C,http://miarodriguezblog.com
William,williamtaylor@email.com,B,http://williamtaylorblog.com
Ellas,elladavis@email.com,C,http://elladavisblog.com
John,john@johndoe.com,A,https://blog.johndoe.com
